objectid,parentid,title,presenter,presenter_affiliation,description,conference-year,date,start_time,end_time,duration_minutes,location,session-type,type,format,subject,identifier,display_template,object_location,image_small,image_thumb
sss2026-boester-math-abstract,sss2026-boester-math,Abstract: Progress Update on Transforming Introductory Mathematics Courses,Tim Boester,"Mathematics and Statistical Sciences, University of Idaho","Extended abstract covering the transformation of Math 1080 and Math 1143 from emporium model to classroom-based active learning since Fall 2023. Discusses investments in personnel, learning spaces, and the Mathematics Assistance Center. Reports decreased DFW rates in Math 1080 and guidance for faculty and advisors on student success indicators.",2026,2026-02-27,,,,,abstract,,,active learning;mathematics;DFW rates;ALEKS;advising,boester-sss-intro-math-update-abs,pdf,/objects/boester-sss-intro-math-update-abs.pdf,/objects/small/boester-sss-intro-math-update-abs_sm.jpg,/objects/thumbs/boester-sss-intro-math-update-abs_th.jpg
sss2026-boester-math-slides,sss2026-boester-math,Slides: Progress Update on Transforming Introductory Mathematics Courses,Tim Boester,"Mathematics and Statistical Sciences, University of Idaho","Presentation slides detailing the transformation of Math 1080 and Math 1143 from the Polya emporium model to classroom-based active learning. Covers investments in personnel and learning spaces, early outcome data including decreased DFW rates, and guidance for faculty and advisors on student success indicators.",2026,2026-02-27,,,,,slides,,,active learning;mathematics;DFW rates;ALEKS;advising,boester-sss-intro-math-update-ppt,pdf,/objects/boester-sss-intro-math-update-ppt.pdf,/objects/small/boester-sss-intro-math-update-ppt_sm.jpg,/objects/thumbs/boester-sss-intro-math-update-ppt_th.jpg
sss2026-burden-shaw,,"Empowering Students Through Peer Mentoring: A Programmatic Approach to Igniting Connection and Guidance","Natalie Burden; Aubrey Shaw; Pre-Health Mentors & Mentees","Advising Services, SEM","This interactive session highlights peer mentoring as a student-centered approach that enhances teaching, learning, and student success. A panel of pre-health advisors, peer mentors, and mentees shares how the Pre-Health Peer Mentoring Program fosters academic, professional, and personal growth.",2026,2026-02-27,2:45 PM,3:15 PM,30,Horizon,panel,,,peer mentoring;pre-health;retention,,session,,,
sss2026-chang-schiele,,"Building a Foundation for Student Success: The First-Year Engineering Experience","Kevin Chang; Nathan Schiele","Civil & Environmental Engineering, College of Engineering; Chemical & Biological Engineering, College of Engineering","This session describes a student-centered engineering course that promotes academic success, professional growth, and identity formation through multidisciplinary, real-world learning experiences. Participants learn how hands-on projects, integrated digital tools, embedded advising, and relationship-building foster belonging and persistence.",2026,2026-02-27,1:30 PM,2:00 PM,30,Aurora,presentation,,,engineering;first-year experience;identity,,session,,,
sss2026-chang-schiele-slides,sss2026-chang-schiele,Slides: Building a Foundation for Student Success - The First-Year Engineering Experience,"Kevin Chang; Nathan Schiele","Civil & Environmental Engineering, College of Engineering; Chemical & Biological Engineering, College of Engineering","Presentation slides covering the evolution of ENGR 1230 First Year Engineering from 2020 to present. Includes course overview, activity schedule, Professional Growth Portfolio structure, group design project details, student feedback data, and instructor reflections. Reports 274 students in 2025-2026 with 89% retention in engineering majors.",2026,2026-02-27,,,,,slides,,,engineering;first-year experience;ENGR 1230;design project,chang_schiele,pdf,/objects/chang_schiele.pdf,/objects/small/chang_schiele_sm.jpg,/objects/thumbs/chang_schiele_th.jpg
sss2026-christensen,,Mind the Gaps,Kelly Christensen,"Academic Support Programs, SEM","Have you noticed gaps in the college readiness skills of your students? This presentation discusses the most common college success strategies that Academic Coaches help students with, including time management, active study techniques, critical reading and analysis, and accessing campus resources.",2026,2026-02-27,1:00 PM,1:30 PM,30,Horizon,presentation,,,academic coaching;readiness;study skills,,session,,,
sss2026-damron-wallace,,"Inclusive Strategies for Neurodivergent Student Success","Cori Damron; Claire Wallace","Center for Disability, Accessibility & Resources, Dean of Students","This interactive workshop provides faculty and staff with practical strategies to support neurodivergent students and promote academic success and belonging. Participants explore common challenges and learn how intentional adjustments in communication, structure, and expectations can enhance engagement.",2026,2026-02-27,3:15 PM,4:15 PM,60,Panorama,workshop,,,neurodivergence;inclusion;accessibility,,session,,,
sss2026-futhey-oswald,,"Faculty Partnership with SI-PASS: Opportunities for Active Learning In and Outside the Classroom","Samantha Futhey; Mary Oswald","Academic Support Programs, SEM; Biological Sciences, College of Science","This interactive workshop explores active learning through Supplemental Instruction-Peer Assisted Study Sessions (SI-PASS), a peer-led program designed to support student success in historically challenging courses. The session provides an overview of the SI-PASS model, faculty partnerships, and program outcomes.",2026,2026-02-27,2:45 PM,3:15 PM,30,Aurora,workshop,,,SI-PASS;peer learning;active learning,,session,,,
sss2026-gallery-walk,,"Gallery Walk Workshop: Collectively Offering Student Success Strategies, Concrete Ideas, and Refinement to our Cross-College Colleagues","Katie Schiffelbein; Bobbi Hugues; Gabriel Potirniche","Strategic Program and Student, College of Engineering; Chief Strategic Partnerships Officer, College of Engineering; Associate Dean, College of Engineering","In this interactive session, College of Engineering staff and faculty share student-centered programs that support belonging, success, persistence, and professional skill development. Using a gallery walk format, participants explore these examples and collaboratively share successes, challenges, and ideas for improvement.",2026,2026-02-27,1:00 PM,1:30 PM,30,Aurora,workshop,,,engineering;cross-college;belonging,,session,,,
sss2026-gauthier,,"Virtual Forests and Their Virtual Ecosystems in Mixed Reality: Experiential Learning in VR/AR",Jean-Marc Gauthier,"Virtual Technology and Design, College of Arts & Architecture","This session demonstrates experiential learning through VR and AR by immersing participants in interactive virtual forest ecosystems. Using VR headsets, connected glasses, and 3D prints, the demonstration showcases learning environments developed for wildland firefighter training in partnership with the Forest Service and the College of Natural Resources.",2026,2026-02-27,1:00 PM,1:30 PM,30,Clearwater,demonstration,,,VR;AR;experiential learning,,session,,,
sss2026-kestle-bullers,,"Peer Education Programs: The Nexus for Student & Campus Success","Mimi Kestle; Elizabeth Bullers; Amanda Ferstead; Mairen Chard","International Programs Office, SEM; Outreach, CBE; Health Promotion, Student Health Services; Student Involvement (EcoVandals)","This interactive workshop explores peer education programs as high-impact experiential learning approaches that support student belonging, persistence, and success. The session introduces a draft Peer Education Program Toolkit with shared training resources and assessment tools.",2026,2026-02-27,3:15 PM,4:15 PM,60,Horizon,workshop,,,peer education;toolkit;experiential learning,,session,,,
sss2026-lapaglia-engels,,"Applying ARC Principles as an Adaptive Evaluative Model for Course and Program Development","Kirsten LaPaglia; Mary Engels","TRIO-INSPIRE, CEHHS; Natural Resources and Society, College of Natural Resources","This workshop introduces the ARC Principles Framework - Active Learning, Research Engaged, and Communities Focused - as a practical approach to designing and evaluating STEM courses and programs that support student persistence.",2026,2026-02-27,1:30 PM,2:30 PM,60,Clearwater,workshop,,,STEM;ARC framework;persistence,,session,,,
sss2026-lapaglia-engels-abstract,sss2026-lapaglia-engels,Abstract: Applying ARC Principles as an Adaptive Evaluative Model for Course and Program Development,"Kirsten LaPaglia; Mary Engels","INSPIRE Center, CEHHS; Natural Resources and Society, College of Natural Resources","Extended abstract introducing the ARC Principles Framework (Active Learning, Research Engaged, Communities Focused) derived from the Graham STEM Persistence Framework using Patton's Principle-Focused Evaluation methodology. Includes references to Engels & LaPaglia (2024), Graham et al. (2013), and Patton (2017).",2026,2026-02-27,,,,,abstract,,,STEM education;principle-focused evaluation;persistence;retention,lapaglia-engels-abs,pdf,/objects/lapaglia-engels-abs.pdf,/objects/small/lapaglia-engels-abs_sm.jpg,/objects/thumbs/lapaglia-engels-abs_th.jpg
sss2026-lapaglia-engels-slides,sss2026-lapaglia-engels,Slides: Applying ARC Principles as an Adaptive Evaluative Model for Course and Program Development,"Kirsten LaPaglia; Mary Engels","INSPIRE Center, CEHHS; Natural Resources and Society, College of Natural Resources","Workshop slides introducing the ARC Principles Framework (Active Learning, Research Engaged, Communities Focused) as an evaluative tool for STEM courses and programs. Demonstrates how the framework derives from the Graham STEM Persistence Framework using Principle-Focused Evaluation methodology.",2026,2026-02-27,,,,,slides,,,STEM education;principle-focused evaluation;persistence;retention,lapaglia-engels-ppt,pdf,/objects/lapaglia-engels-ppt.pdf,/objects/small/lapaglia-engels-ppt_sm.jpg,/objects/thumbs/lapaglia-engels-ppt_th.jpg
sss2026-martin-kidder,,"Many Nations, One Family: Centering Community and Culture for Success","Steven Martin; Dakota Kidder","Tribal Nations Student Affairs, Office of Tribal Relations","The Office of Tribal Nations Student Affairs presents an overview of its history and evolution, highlighting recruitment, retention, and programming that support Native American students at the University of Idaho. The session examines how cultural knowledge and tribal identities foster belonging.",2026,2026-02-27,2:00 PM,2:30 PM,30,Horizon,presentation,,,tribal nations;belonging;culture,,session,,,
sss2026-perry-akervall,,"Why Write? Teaching People in the Age of AI","Emma Catherine Perry; Miriam Åkervall","Writing Center, English Department, CLASS; Writing Center, English Department, CLASS","This session examines the impact of generative AI on writing in postsecondary education and reaffirms writing's central role in student learning, achievement, and critical thinking. Participants explore the value of writing for learning within their disciplines and design ready-to-implement writing activities.",2026,2026-02-27,1:30 PM,2:30 PM,60,Crest,workshop,,,writing;AI;critical thinking,,session,,,
sss2026-rowley,,High-Intensity and Independent Laboratory Research to Enhance Undergraduate Student Engagement and Success,Paul Rowley,"Biological Sciences, College of Science","This session outlines the history of undergraduate research productivity in lab-based biological sciences, highlighting student successes and evidence of productivity gains through independent research experiences. It also addresses challenges related to cohort management, future program development, and the integration of AI.",2026,2026-02-27,2:45 PM,3:15 PM,30,Crest,presentation,,,undergraduate research;biology;mentorship,,session,,,
sss2026-townsend,,"Providing the Right Evidence: How Campus Interactions Shape Student Perceptions and Persistence",Kaylena Townsend,"Advising Services, SEM","This interactive session examines how students interpret everyday experiences and feedback as evidence of their abilities and potential. It explores how faculty, staff, and campus partners can intentionally shape classroom interactions, advising conversations, policies, and informal moments to support growth-minded perspectives and student persistence.",2026,2026-02-27,1:00 PM,1:30 PM,30,Panorama,presentation,,,advising;growth mindset;persistence,,session,,,
sss2026-townsend-abstract,sss2026-townsend,"Abstract: Providing the Right Evidence: How Campus Interactions Shape Student Perceptions and Persistence",Kaylena Townsend,"Advising Services, University of Idaho","Extended abstract exploring how micro-messages in everyday campus interactions shape students' perceived academic control, motivation, and persistence. Draws on attribution theory, growth mindset, and appreciative advising research. Includes a case study approach and a Micro-Messages that Matter handout.",2026,2026-02-27,,,,,abstract,,,micro-messaging;perceived academic control;growth mindset;appreciative advising,townsend-abs,pdf,/objects/townsend-abs.pdf,/objects/small/townsend-abs_sm.jpg,/objects/thumbs/townsend-abs_th.jpg
sss2026-townsend-slides,sss2026-townsend,"Slides: Providing the Right Evidence: How Campus Interactions Shape Student Perceptions and Persistence",Kaylena Townsend,"Advising Services, University of Idaho","Presentation slides exploring how micro-messages in everyday campus interactions influence students' perceived academic control and persistence. Includes case study exercises, the Micro-Messages that Matter framework, and strategies grounded in attribution theory, growth mindset, and appreciative advising.",2026,2026-02-27,,,,,slides,,,micro-messaging;perceived academic control;growth mindset;appreciative advising,townsend-ppt,pdf,/objects/townsend-ppt.pdf,/objects/small/townsend-ppt_sm.jpg,/objects/thumbs/townsend-ppt_th.jpg
sss2026-voss-gash-hoene,,"The Why of Accommodations: Case Studies","Cory Voss; Katelyn Gash; Jeneba Hoene","Center for Disability, Accessibility & Resources, Dean of Students","This interactive session uses real case studies to explore the purpose and practice of disability-related accommodations and how they support student success. Participants examine instructional barriers, distinguish essential requirements from flexible practices, and learn how Universal Design for Learning strategies can reduce the need for reactive accommodations.",2026,2026-02-27,1:30 PM,2:30 PM,60,Panorama,workshop,,,accommodations;UDL;accessibility,,session,,,
sss2026-waynant,,"How to Create a Positive Undergraduate Research Environment",Kristopher Waynant,"Office of Undergraduate Research; Chemistry, College of Science","This 60-minute workshop presents best practices for mentoring and engaging undergraduates in research at a research-intensive university. The session covers designing feasible projects, setting expectations, managing time and safety, and clarifying roles within research teams.",2026,2026-02-27,3:15 PM,4:15 PM,60,Crest,workshop,,,undergraduate research;mentorship;best practices,,session,,,
sss2026-ziegler,,"Nurturing Academic Hope: Increasing Student Success Through an Active Framework of Hope",Amber Ziegler,"Advising Services, SEM","Hope is often thought of as a passive wish. Psychological and student development research give us an alternative framing of hope as an active concept, incorporating intention, reflection, and practice. This workshop introduces the framework of academic hope, explores its components, and inspires ideas for supporting students.",2026,2026-02-27,2:45 PM,3:15 PM,30,Panorama,workshop,,,academic hope;well-being;persistence,,session,,,
